web-scraper-order,web-scraper-start-url,Rank,City / Town,Russian,Federal subject,Federal district,2021 estimate,2010 Census
1653023906-32727,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,161,Elista,Элиста,Republic of Kalmykia,South,"103,535","103,749"
1653023906-32728,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,162,Arzamas,Арзамас,Nizhny Novgorod Oblast,Volga,"103,396","106,362"
1653023906-32729,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,163,Khanty-Mansiysk,Ханты-Мансийск,Khanty-Mansi Autonomous Okrug-Yugra,Ural,"103,117","80,151"
1653023906-32730,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,164,Noginsk,Ногинск,Moscow Oblast,Central,"103,063","100,072"
1653023906-32731,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,165,Yelets,Елец,Lipetsk Oblast,Central,"101,306","108,404"
1653023906-32732,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,166,Zheleznogorsk,Железногорск,Kursk Oblast,Central,"100,554","95,049"
1653023906-32733,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,167,Zelenodolsk,Зеленодольск,Republic of Tatarstan,Volga,"100,009","97,674"
1653023906-32734,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,168,Novokuybyshevsk,Новокуйбышевск,Samara Oblast,Volga,"99,469","108,438"
1653023906-32735,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,169,Sergiyev Posad,Сергиев Посад,Moscow Oblast,Central,"98,784","111,179"
1653023906-32736,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,170,Tobolsk,Тобольск,Tyumen Oblast,Ural,"98,772","99,694"
1653023906-32737,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,171,Votkinsk,Воткинск,Udmurt Republic,Volga,"96,861","99,022"
1653023906-32738,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,172,Sarov,Саров,Nizhny Novgorod Oblast,Volga,"96,479","92,047"
1653023906-32739,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,173,Mezhdurechensk,Междуреченск,Kemerovo Oblast,Siberia,"96,088","101,678"
1653023906-32740,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,174,Mikhaylovsk,Михайловск,Stavropol Krai,North Caucasus,"95,525","70,981"
1653023906-32741,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,175,Serov,Серов,Sverdlovsk Oblast,Ural,"95,141","99,373"
1653023906-32742,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,176,Sarapul,Сарапул,Udmurt Republic,Volga,"94,554","101,381"
1653023906-32743,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,177,Anapa,Анапа,Krasnodar Krai,South,"94,340","58,990"
1653023906-32744,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,178,Leninsk-Kuznetsky,Ленинск-Кузнецкий,Kemerovo Oblast,Siberia,"93,288","101,666"
1653023906-32745,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,179,Ukhta,Ухта,Komi Republic,Northwest,"92,479","99,591"
1653023906-32746,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,180,Voskresensk,Воскресенск,Moscow Oblast,Central,"92,196","91,464"
1653023906-32747,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,181,Solikamsk,Соликамск,Perm Krai,Volga,"91,959","97,384"
1653023906-32748,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,182,Glazov,Глазов,Udmurt Republic,Volga,"91,921","95,854"
1653023906-32749,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,183,Magadan,Магадан,Magadan Oblast,Far East,"91,797","95,982"
1653023906-32750,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,184,Velikiye Luki,Великие Луки,Pskov Oblast,Northwest,"90,485","98,778"
1653023906-32751,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,185,Michurinsk,Мичуринск,Tambov Oblast,Central,"89,876","98,758"
1653023906-32752,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,186,Lobnya,Лобня,Moscow Oblast,Central,"89,522","74,252"
1653023906-32753,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,187,Gatchina,Гатчина,Leningrad Oblast,Northwest,"89,311","92,937"
1653023906-32754,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,188,Kansk,Канск,Krasnoyarsk Krai,Siberia,"88,362","94,226"
1653023906-32755,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,189,Kamensk-Shakhtinsky,Каменск-Шахтинский,Rostov Oblast,South,"87,113","95,296"
1653023906-32756,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,190,Gubkin,Губкин,Belgorod Oblast,Central,"86,073","88,560"
1653023906-32757,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,191,Buzuluk,Бузулук,Orenburg Oblast,Volga,"86,042","82,904"
1653023906-32758,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,192,Kiselyovsk,Киселёвск,Kemerovo Oblast,Siberia,"85,339","98,365"
1653023906-32759,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,193,Yeysk,Ейск,Krasnodar Krai,South,"83,127","87,769"
1653023906-32760,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,194,Ivanteyevka,Ивантеевка,Moscow Oblast,Central,"82,779","58,626"
1653023906-32761,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,195,Novotroitsk,Новотроицк,Orenburg Oblast,Volga,"82,463","98,173"
1653023906-32762,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,196,Chaykovsky,Чайковский,Perm Krai,Volga,"81,855","82,895"
1653023906-32763,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,197,Bugulma,Бугульма,Republic of Tatarstan,Volga,"81,678","89,204"
1653023906-32764,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,198,Zheleznogorsk,Железногорск,Krasnoyarsk Krai,Siberia,"81,619","84,795"
1653023906-32765,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,199,Yurga,Юрга,Kemerovo Oblast,Siberia,"80,367","81,533"
1653023906-32766,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,200,Kineshma,Кинешма,Ivanovo Oblast,Central,"79,936","88,164"
1653023906-32767,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,201,Azov,Азов,Rostov Oblast,South,"79,857","82,937"
1653023906-32768,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,202,Kuznetsk,Кузнецк,Penza Oblast,Volga,"79,800","88,839"
1653023906-32769,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,203,Ust-Ilimsk,Усть-Илимск,Irkutsk Oblast,Siberia,"79,746","86,610"
1653023906-32770,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,204,Novouralsk,Новоуральск,Sverdlovsk Oblast,Ural,"79,638","85,522"
1653023906-32771,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,205,Klin,Клин,Moscow Oblast,Central,"79,635","80,585"
1653023906-32772,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,206,Vidnoye,Видное,Moscow Oblast,Central,"78,635","56,752"
1653023906-32773,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,207,Murino,Мурино,Leningrad Oblast,Northwest,"78,184","7,949"
1653023906-32775,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,208,Ozyorsk,Озёрск,Chelyabinsk Oblast,Ural,"78,128","82,164"
1653023906-32776,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,209,Kropotkin,Кропоткин,Krasnodar Krai,South,"77,074","80,765"
1653023906-32777,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,210,Bor,Бор,Nizhny Novgorod Oblast,Volga,"76,732","78,058"
1653023906-32778,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,211,Vsevolozhsk,Всеволожск,Leningrad Oblast,Northwest,"75,660","59,704"
1653023906-32779,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,212,Gelendzhik,Геленджик,Krasnodar Krai,South,"75,504","54,980"
1653023906-32780,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,213,Chernogorsk,Черногорск,Republic of Khakassia,Siberia,"75,348","72,147"
1653023906-32781,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,214,Usolye-Sibirskoye,Усолье-Сибирское,Irkutsk Oblast,Siberia,"75,062","83,327"
1653023906-32782,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,215,Balashov,Балашов,Saratov Oblast,Volga,"74,981","82,227"
1653023906-32783,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,216,Novoaltaysk,Новоалтайск,Altai Krai,Siberia,"74,586","70,437"
1653023906-32784,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,217,Dubna,Дубна,Moscow Oblast,Central,"74,499","70,663"
1653023906-32785,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,218,Shadrinsk,Шадринск,Kurgan Oblast,Ural,"74,400","77,756"
1653023906-32786,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,219,Verkhnyaya Pyshma,Верхняя Пышма,Sverdlovsk Oblast,Ural,"74,262","59,749"
1653023906-32787,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,220,Vyborg,Выборг,Leningrad Oblast,Northwest,"74,054","79,962"
1653023906-32788,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,221,Yelabuga,Елабуга,Republic of Tatarstan,Volga,"73,866","70,728"
1653023906-32789,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,222,Mineralnye Vody,Минеральные Воды,Stavropol Krai,North Caucasus,"73,183","76,728"
1653023906-32790,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,223,Yegoryevsk,Егорьевск,Moscow Oblast,Central,"73,046","70,081"
1653023906-32791,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,224,Troitsk,Троицк,Chelyabinsk Oblast,Ural,"72,723","78,372"
1653023906-32792,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,225,Chekhov,Чехов,Moscow Oblast,Central,"71,077","60,720"
1653023906-32793,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,226,Chapayevsk,Чапаевск,Samara Oblast,Volga,"70,944","72,692"
1653023906-32794,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,227,Belovo,Белово,Kemerovo Oblast,Siberia,"70,611","76,764"
1653023906-32795,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,228,Birobidzhan,Биробиджан,Jewish Autonomous Oblast,Far East,"70,433","75,413"
1653023906-32796,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,229,Kogalym,Когалым,Khanty-Mansi Autonomous Okrug-Yugra,Ural,"68,700","58,181"
1653023906-32797,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,230,Kirovo-Chepetsk,Кирово-Чепецк,Kirov Oblast,Volga,"68,588","80,921"
1653023906-32798,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,231,Dmitrov,Дмитров,Moscow Oblast,Central,"68,397","61,305"
1653023906-32799,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,232,Tuymazy,Туймазы,Republic of Bashkortostan,Volga,"68,108","66,836"
1653023906-32800,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,233,Slavyansk-na-Kubani,Славянск-на-Кубани,Krasnodar Krai,South,"67,777","63,842"
1653023906-32802,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,234,Minusinsk,Минусинск,Krasnoyarsk Krai,Siberia,"67,234","71,170"
1653023906-32803,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,235,Sosnovy Bor,Сосновый Бор,Leningrad Oblast,Northwest,"67,054","65,788"
1653023906-32804,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,236,Naro-Fominsk,Наро-Фоминск,Moscow Oblast,Central,"67,009","64,665"
1653023906-32805,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,237,Anzhero-Sudzhensk,Анжеро-Судженск,Kemerovo Oblast,Siberia,"66,933","76,646"
1653023906-32806,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,238,Kstovo,Кстово,Nizhny Novgorod Oblast,Volga,"66,928","66,657"
1653023906-32807,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,239,Sunzha,Сунжа,Republic of Ingushetia,North Caucasus,"66,807","61,598"
1653023906-32808,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,240,Buynaksk,Буйнакск,Republic of Dagestan,North Caucasus,"66,422","62,623"
1653023906-32809,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,241,Stupino,Ступино,Moscow Oblast,Central,"65,660","66,816"
1653023906-32810,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,242,Georgiyevsk,Георгиевск,Stavropol Krai,North Caucasus,"65,633","72,153"
1653023906-32811,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,243,Zarechny,Заречный,Penza Oblast,Volga,"65,493","63,601"
1653023906-32812,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,244,Gorno-Altaysk,Горно-Алтайск,Altai Republic,Siberia,"64,504","56,933"
1653023906-32813,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,245,Belogorsk,Белогорск,Amur Oblast,Far East,"64,502","68,249"
1653023906-32814,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,246,Beloretsk,Белорецк,Republic of Bashkortostan,Volga,"64,479","68,806"
1653023906-32815,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,247,Kungur,Кунгур,Perm Krai,Volga,"64,259","66,074"
1653023906-32816,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,248,Ishim,Ишим,Tyumen Oblast,Ural,"64,010","65,243"
1653023906-32817,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,249,Urus-Martan,Урус-Мартан,Chechen Republic,North Caucasus,"63,955","49,070"
1653023906-32818,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,250,Ishimbay,Ишимбай,Republic of Bashkortostan,Volga,"63,849","66,259"
1653023906-32819,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,251,Pavlovsky Posad,Павловский Посад,Moscow Oblast,Central,"62,718","63,711"
1653023906-32820,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,252,Klintsy,Клинцы,Bryansk Oblast,Central,"62,704","62,510"
1653023906-32821,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,253,Gukovo,Гуково,Rostov Oblast,South,"62,658","67,278"
1653023906-32822,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,254,Rossosh,Россошь,Voronezh Oblast,Central,"62,290","62,865"
1653023906-32823,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,255,Asbest,Асбест,Sverdlovsk Oblast,Ural,"62,285","68,893"
1653023906-32824,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,256,Kotlas,Котлас,Arkhangelsk Oblast,Northwest,"62,284","60,562"
1653023906-32825,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,257,Zelenogorsk,Зеленогорск,Krasnoyarsk Krai,Siberia,"61,821","66,056"
1653023906-32826,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,258,Donskoy,Донской,Tula Oblast,Central,"61,477","64,552"
1653023906-32827,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,259,Leninogorsk,Лениногорск,Republic of Tatarstan,Volga,"61,321","64,127"
1653023906-32828,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,260,Izberbash,Избербаш,Republic of Dagestan,North Caucasus,"61,296","55,646"
1653023906-32829,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,261,Tuapse,Туапсе,Krasnodar Krai,South,"60,987","63,292"
1653023906-32830,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,262,Volsk,Вольск,Saratov Oblast,Volga,"60,948","66,508"
1653023906-32831,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,263,Revda,Ревда,Sverdlovsk Oblast,Ural,"60,761","61,875"
1653023906-32832,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,264,Budyonnovsk,Будённовск,Stavropol Krai,North Caucasus,"60,504","64,624"
1653023906-32833,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,265,Beryozovsky,Берёзовский,Sverdlovsk Oblast,Ural,"60,334","51,651"
1653023906-32834,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,266,Sibay,Сибай,Republic of Bashkortostan,Volga,"60,017","62,763"
1653023906-32835,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,267,Polevskoy,Полевской,Sverdlovsk Oblast,Ural,"60,012","64,220"
1653023906-32836,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,268,Lytkarino,Лыткарино,Moscow Oblast,Central,"59,937","55,237"
1653023906-32837,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,269,Lysva,Лысьва,Perm Krai,Volga,"59,610","65,918"
1653023906-32838,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,270,Kumertau,Кумертау,Republic of Bashkortostan,Volga,"59,129","62,851"
1653023906-32839,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,271,Belebey,Белебей,Republic of Bashkortostan,Volga,"59,093","60,188"
1653023906-32840,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,272,Neryungri,Нерюнгри,Sakha (Yakutia) Republic,Far East,"58,969","61,747"
1653023906-32841,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,273,Lesosibirsk,Лесосибирск,Krasnoyarsk Krai,Siberia,"58,949","61,139"
1653023906-32842,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,274,Fryazino,Фрязино,Moscow Oblast,Central,"58,938","55,369"
1653023906-32843,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,275,Sertolovo,Сертолово,Leningrad Oblast,Northwest,"58,802","47,457"
1653023906-32844,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,276,Chistopol,Чистополь,Republic of Tatarstan,Volga,"58,771","60,755"
1653023906-32845,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,277,Prokhladny,Прохладный,Kabardino-Balkar Republic,North Caucasus,"58,747","59,601"
1653023906-32846,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,278,Borisoglebsk,Борисоглебск,Voronezh Oblast,Central,"58,742","65,585"
1653023906-32847,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,279,Nyagan,Нягань,Khanty-Mansi Autonomous Okrug-Yugra,Ural,"58,733","54,890"
1653023906-32848,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,280,Labinsk,Лабинск,Krasnodar Krai,South,"58,498","62,864"
1653023906-32849,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,281,Krymsk,Крымск,Krasnodar Krai,South,"58,051","57,382"
1653023906-32850,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,282,Tikhvin,Тихвин,Leningrad Oblast,Northwest,"57,327","58,459"
1653023906-32851,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,283,Gudermes,Гудермес,Chechen Republic,North Caucasus,"57,179","45,631"
1653023906-32852,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,284,Aleksin,Алексин,Tula Oblast,Central,"57,102","61,732"
1653023906-32853,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,285,Alexandrov,Александров,Vladimir Oblast,Central,"57,073","61,551"
1653023906-32854,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,286,Mikhaylovka,Михайловка,Volgograd Oblast,South,"56,981","59,132"
1653023906-32855,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,287,Rzhev,Ржев,Tver Oblast,Central,"56,399","61,982"
1653023906-32856,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,288,Shchyokino,Щёкино,Tula Oblast,Central,"56,263","58,139"
1653023906-32857,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,289,Tikhoretsk,Тихорецк,Krasnodar Krai,South,"56,262","61,823"
1653023906-32858,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,290,Salsk,Сальск,Rostov Oblast,South,"56,247","61,316"
1653023906-32859,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,291,Shali,Шали,Chechen Republic,North Caucasus,"56,226","47,708"
1653023906-32860,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,292,Pavlovo,Павлово,Nizhny Novgorod Oblast,Volga,"56,129","60,698"
1653023906-32861,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,293,Shuya,Шуя,Ivanovo Oblast,Central,"56,041","58,486"
1653023906-32862,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,294,Meleuz,Мелеуз,Republic of Bashkortostan,Volga,"56,036","61,390"
1653023906-32863,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,295,Krasnoturyinsk,Краснотурьинск,Sverdlovsk Oblast,Ural,"55,910","59,633"
1653023906-32864,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,296,Iskitim,Искитим,Novosibirsk Oblast,Siberia,"55,433","60,078"
1653023906-32865,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,297,Severomorsk,Североморск,Murmansk Oblast,Northwest,"54,473","50,060"
1653023906-32866,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,298,Apatity,Апатиты,Murmansk Oblast,Northwest,"53,847","59,672"
1653023906-32867,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,299,Svobodny,Свободный,Amur Oblast,Far East,"52,918","58,778"
1653023906-32868,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,300,Vyksa,Выкса,Nizhny Novgorod Oblast,Volga,"52,892","56,201"
1653023906-32869,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,301,Liski,Лиски,Voronezh Oblast,Central,"52,823","55,864"
1653023906-32870,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,302,Dzerzhinsky,Дзержинский,Moscow Oblast,Central,"52,797","47,163"
1653023906-32871,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,303,Volzhsk,Волжск,Mari El Republic,Volga,"52,703","55,659"
1653023906-32872,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,304,Vyazma,Вязьма,Smolensk Oblast,Central,"52,434","57,101"
1653023906-32873,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,305,Vorkuta,Воркута,Komi Republic,Northwest,"52,292","70,548"
1653023906-32874,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,306,Gus-Khrustalny,Гусь-Хрустальный,Vladimir Oblast,Central,"51,998","60,784"
1653023906-32875,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,307,Snezhinsk,Снежинск,Chelyabinsk Oblast,Ural,"51,921","48,810"
1653023906-32876,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,308,Krasnokamsk,Краснокамск,Perm Krai,Volga,"51,815","51,916"
1653023906-32877,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,309,Arsenyev,Арсеньев,Primorsky Krai,Far East,"52,723","56,750"
1653023906-32878,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,310,Krasnokamensk,Краснокаменск,Zabaykalsky Krai,Far East,"51,451","55,666"
1653023906-32879,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,311,Belorechensk,Белореченск,Krasnodar Krai,South,"51,405","53,892"
1653023906-32880,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,312,Salekhard,Салехард,Yamalo-Nenets Autonomous Okrug,Ural,"51,186","42,544"
1653023906-32881,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,313,Zhigulyovsk,Жигулёвск,Samara Oblast,Volga,"50,782","55,565"
1653023906-32882,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,314,Kotelniki,Котельники,Moscow Oblast,Central,"50,723","32,338"
1653023906-32883,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,315,Timashyovsk,Тимашёвск,Krasnodar Krai,South,"50,566","53,924"
1653023906-32884,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,316,Kirishi,Кириши,Leningrad Oblast,Northwest,"50,079","52,309"
1653023906-32678,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,—,Kerch,Керчь,Republic of Crimea [a],South,"151,996","157,007"
1653023906-32774,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,—,Yalta,Ялта,Republic of Crimea [a],South,"78,171","81,654"
1653023906-32801,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,—,Feodosia,Феодосия,Republic of Crimea [a],South,"67,750","74,669"
1653023906-32619,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,—,Simferopol,Симферопoль,Republic of Crimea [a],South,"336,212","343,644"
1653023906-32718,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,—,Yevpatoria,Евпатория,Republic of Crimea [a],South,"108,149","105,915"
1653023906-32604,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,—,Sevastopol,Севастополь,Sevastopol (federal city) [a],South,"464,349","342,451"
