web-scraper-order,web-scraper-start-url,City,Russian name,Federal subject
"1653020618-57","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Bakal","Бакал","Chelyabinsk Oblast"
"1653020618-205","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Fokino","Фокино","Bryansk Oblast"
"1653020618-518","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Mikhaylovsk","Михайловск","Stavropol Krai"
"1653020618-251","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Insar","Инсар","Republic of Mordovia"
"1653020618-936","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Turan","Туран","Tuva Republic"
"1653020618-816","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Shuya","Шуя","Ivanovo Oblast"
"1653020618-223","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Gorno-Altaysk","Горно-Алтайск","Altai Republic"
"1653020618-196","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Dzerzhinsk","Дзержинск","Nizhny Novgorod Oblast"
"1653020618-1038","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Yaroslavl","Ярославль","Yaroslavl Oblast"
"1653020618-725","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Pushkino","Пушкино","Moscow Oblast"
"1653020618-985","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Verkhneuralsk","Верхнеуральск","Chelyabinsk Oblast"
"1653020618-763","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Sarapul","Сарапул","Udmurtia"
"1653020618-643","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Onega","Онега","Arkhangelsk Oblast"
"1653020618-338","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Kirovsk","Кировск","Leningrad Oblast"
"1653020618-346","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Kizilyurt","Кизилюрт","Dagestan"
"1653020618-384","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Kotovsk","Котовск","Tambov Oblast"
"1653020618-774","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Semiluki","Семилуки","Voronezh Oblast"
"1653020618-739","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Roshal","Рошаль","Moscow Oblast"
"1653020618-1095","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Zheleznogorsk-Ilimsky","Железногорск-Илимский","Irkutsk Oblast"
"1653020618-413","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Kronstadt","Кронштадт","Saint Petersburg"
"1653020618-337","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Kirovo-Chepetsk","Кирово-Чепецк","Kirov Oblast"
"1653020618-744","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Rtishchevo","Ртищево","Saratov Oblast"
"1653020618-798","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Sharya","Шарья","Kostroma Oblast"
"1653020618-302","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Kashin","Кашин","Tver Oblast"
"1653020618-755","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Safonovo","Сафоново","Smolensk Oblast"
"1653020618-863","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Staritsa","Старица","Tver Oblast"
"1653020618-614","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Novouralsk","Новоуральск","Sverdlovsk Oblast"
"1653020618-426","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Kurilsk","Курильск","Sakhalin Oblast"
"1653020618-948","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Ufa","Уфа","Republic of Bashkortostan"
"1653020618-229","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Gorokhovets","Гороховец","Vladimir Oblast"
"1653020618-459","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Likino-Dulyovo","Ликино-Дулёво","Moscow Oblast"
"1653020618-740","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Roslavl","Рославль","Smolensk Oblast"
"1653020618-874","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Sukhinichi","Сухиничи","Kaluga Oblast"
"1653020618-610","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Novosil","Новосиль","Oryol Oblast"
"1653020618-558","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Nazyvayevsk","Называевск","Omsk Oblast"
"1653020618-1","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Abakan","Абакан","Republic of Khakassia"
"1653020618-307","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Katav-Ivanovsk","Катав-Ивановск","Chelyabinsk Oblast"
"1653020618-24","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Amursk","Амурск","Khabarovsk Krai"
"1653020618-674","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Perm","Пермь","Perm Krai"
"1653020618-93","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Beslan","Беслан","Republic of North Ossetia–Alania"
"1653020618-478","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Lyubim","Любим","Yaroslavl Oblast"
"1653020618-1073","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Zaozyorsk","Заозёрск","Murmansk Oblast"
"1653020618-625","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Nytva","Нытва","Perm Krai"
"1653020618-14","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Alatyr","Алатырь","Chuvash Republic"
"1653020618-298","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Kargat","Каргат","Novosibirsk Oblast"
"1653020618-21","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Aleysk","Алейск","Altai Krai"
"1653020618-554","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Navashino","Навашино","Nizhny Novgorod Oblast"
"1653020618-566","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Nerekhta","Нерехта","Kostroma Oblast"
"1653020618-94","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Bezhetsk","Бежецк","Tver Oblast"
"1653020618-1048","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Yelizovo","Елизово","Kamchatka Krai"
"1653020618-288","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Kamyzyak","Камызяк","Astrakhan Oblast"
"1653020618-979","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Veliky Ustyug","Великий Устюг","Vologda Oblast"
"1653020618-28","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Angarsk","Ангарск","Irkutsk Oblast"
"1653020618-155","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Chistopol","Чистополь","Republic of Tatarstan"
"1653020618-286","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Kamyshin","Камышин","Volgograd Oblast"
"1653020618-150","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Cherkessk","Черкесск","Karachay-Cherkessia"
"1653020618-37","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Argun","Аргун","Chechen Republic"
"1653020618-926","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Totma","Тотьма","Vologda Oblast"
"1653020618-49","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Asino","Асино","Tomsk Oblast"
"1653020618-332","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Kirillov","Кириллов","Vologda Oblast"
"1653020618-665","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Pavlovsk","Павловск","Voronezh Oblast"
"1653020618-79","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Belokurikha","Белокуриха","Altai Krai"
"1653020618-291","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Kansk","Канск","Krasnoyarsk Krai"
"1653020618-687","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Pikalyovo","Пикалёво","Leningrad Oblast"
"1653020618-357","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Kologriv","Кологрив","Kostroma Oblast"
"1653020618-984","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Vereya","Верея","Moscow Oblast"
"1653020618-443","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Lagan","Лагань","Kalmykia"
"1653020618-1066","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Yuzhno-Sakhalinsk","Южно-Сахалинск","Sakhalin Oblast"
"1653020618-906","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Tayshet","Тайшет","Irkutsk Oblast"
"1653020618-169","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Davlekanovo","Давлеканово","Republic of Bashkortostan"
"1653020618-115","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Bologoye","Бологое","Tver Oblast"
"1653020618-1101","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Zhukov","Жуков","Kaluga Oblast"
"1653020618-496","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Mariinsky Posad","Мариинский Посад","Chuvash Republic"
"1653020618-990","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Verkhnyaya Tura","Верхняя Тура","Sverdlovsk Oblast"
"1653020618-274","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Kaliningrad","Калининград","Kaliningrad Oblast"
"1653020618-1028","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Vyshny Volochyok","Вышний Волочёк","Tver Oblast"
"1653020618-179","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Dmitrov","Дмитров","Moscow Oblast"
"1653020618-968","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Ust-Kut","Усть-Кут","Irkutsk Oblast"
"1653020618-815","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Shumikha","Шумиха","Kurgan Oblast"
"1653020618-498","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Maykop","Майкоп","Republic of Adygea"
"1653020618-703","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Polyarny","Полярный","Murmansk Oblast"
"1653020618-46","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Arzamas","Арзамас","Nizhny Novgorod Oblast"
"1653020618-451","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Leninsk-Kuznetsky","Ленинск-Кузнецкий","Kemerovo Oblast"
"1653020618-499","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Maysky","Майский","Kabardino-Balkar Republic"
"1653020618-1112","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Zvenigovo","Звенигово","Mari El"
"1653020618-416","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Kstovo","Кстово","Nizhny Novgorod Oblast"
"1653020618-431","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Kusa","Куса","Chelyabinsk Oblast"
"1653020618-1085","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Zelenogorsk","Зеленогорск","Krasnoyarsk Krai"
"1653020618-339","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Kirovsk","Кировск","Murmansk Oblast"
"1653020618-90","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Berezniki","Березники","Perm Krai"
"1653020618-1071","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Zakamensk","Закаменск","Republic of Buryatia"
"1653020618-931","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Tsimlyansk","Цимлянск","Rostov Oblast"
"1653020618-164","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Dalmatovo","Далматово","Kurgan Oblast"
"1653020618-1019","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Votkinsk","Воткинск","Udmurtia"
"1653020618-327","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Kinel","Кинель","Samara Oblast"
"1653020618-888","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Svirsk","Свирск","Irkutsk Oblast"
"1653020618-87","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Bely","Белый","Tver Oblast"
"1653020618-392","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Krasnoarmeysk","Красноармейск","Moscow Oblast"
"1653020618-623","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Nyandoma","Няндома","Arkhangelsk Oblast"
"1653020618-877","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Surazh","Сураж","Bryansk Oblast"
"1653020618-591","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Novaya Ladoga","Новая Ладога","Leningrad Oblast"
"1653020618-911","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Tetyushi","Тетюши","Republic of Tatarstan"
"1653020618-681","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Petrovsk","Петровск","Saratov Oblast"
"1653020618-486","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Makushino","Макушино","Kurgan Oblast"
"1653020618-243","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Guryevsk","Гурьевск","Kemerovo Oblast"
"1653020618-1010","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Volokolamsk","Волоколамск","Moscow Oblast"
"1653020618-767","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Satka","Сатка","Chelyabinsk Oblast"
"1653020618-487","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Malaya Vishera","Малая Вишера","Novgorod Oblast"
"1653020618-534","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Mozhaysk","Можайск","Moscow Oblast"
"1653020618-821","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Slantsy","Сланцы","Leningrad Oblast"
"1653020618-638","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Olenegorsk","Оленегорск","Murmansk Oblast"
"1653020618-606","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Novorossiysk","Новороссийск","Krasnodar Krai"
"1653020618-468","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Luga","Луга","Leningrad Oblast"
"1653020618-141","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Cheboksary","Чебоксары","Chuvash Republic"
"1653020618-1014","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Volzhsky","Волжский","Volgograd Oblast"
"1653020618-365","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Kondopoga","Кондопога","Karelia"
"1653020618-404","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Krasnoyarsk","Красноярск","Krasnoyarsk Krai"
"1653020618-637","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Okulovka","Окуловка","Novgorod Oblast"
"1653020618-513","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Miass","Миасс","Chelyabinsk Oblast"
"1653020618-662","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Pallasovka","Палласовка","Volgograd Oblast"
"1653020618-44","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Artyomovsk","Артёмовск","Krasnoyarsk Krai"
"1653020618-1109","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Zubtsov","Зубцов","Tver Oblast"
"1653020618-809","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Shenkursk","Шенкурск","Arkhangelsk Oblast"
"1653020618-53","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Azov","Азов","Rostov Oblast"
"1653020618-954","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Unecha","Унеча","Bryansk Oblast"
"1653020618-306","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Kaspiysk","Каспийск","Dagestan"
"1653020618-321","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Kholm","Холм","Novgorod Oblast"
"1653020618-728","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Pytalovo","Пыталово","Pskov Oblast"
"1653020618-839","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Solvychegodsk","Сольвычегодск","Arkhangelsk Oblast"
"1653020618-328","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Kineshma","Кинешма","Ivanovo Oblast"
"1653020618-151","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Chernogolovka","Черноголовка","Moscow Oblast"
"1653020618-551","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Nartkala","Нарткала","Kabardino-Balkar Republic"
"1653020618-293","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Karabash","Карабаш","Chelyabinsk Oblast"
"1653020618-525","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Mirny","Мирный","Sakha Republic"
"1653020618-932","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Tsivilsk","Цивильск","Chuvash Republic"
"1653020618-581","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Nizhnevartovsk","Нижневартовск","Khanty-Mansi Autonomous Okrug"
"1653020618-1027","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Vyksa","Выкса","Nizhny Novgorod Oblast"
"1653020618-119","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Bor","Бор","Nizhny Novgorod Oblast"
"1653020618-265","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Ivdel","Ивдель","Sverdlovsk Oblast"
"1653020618-369","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Korablino","Кораблино","Ryazan Oblast"
"1653020618-463","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Livny","Ливны","Oryol Oblast"
"1653020618-39","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Arkhangelsk","Архангельск","Arkhangelsk Oblast"
"1653020618-68","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Barysh","Барыш","Ulyanovsk Oblast"
"1653020618-200","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Elektrougli","Электроугли","Moscow Oblast"
"1653020618-195","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Dyurtyuli","Дюртюли","Republic of Bashkortostan"
"1653020618-1015","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Vorkuta","Воркута","Komi Republic"
"1653020618-710","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Pravdinsk","Правдинск","Kaliningrad Oblast"
"1653020618-207","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Frolovo","Фролово","Volgograd Oblast"
"1653020618-854","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Spas-Klepiki","Спас-Клепики","Ryazan Oblast"
"1653020618-477","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Lyubertsy","Люберцы","Moscow Oblast"
"1653020618-450","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Leninsk","Ленинск","Volgograd Oblast"
"1653020618-828","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Snezhinsk","Снежинск","Chelyabinsk Oblast"
"1653020618-269","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Kachkanar","Качканар","Sverdlovsk Oblast"
"1653020618-688","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Pionersky","Пионерский","Kaliningrad Oblast"
"1653020618-814","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Shumerlya","Шумерля","Chuvash Republic"
"1653020618-870","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Strunino","Струнино","Vladimir Oblast"
"1653020618-427","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Kurlovo","Курлово","Vladimir Oblast"
"1653020618-474","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Lysva","Лысьва","Perm Krai"
"1653020618-800","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Shatsk","Шацк","Ryazan Oblast"
"1653020618-779","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Sergach","Сергач","Nizhny Novgorod Oblast"
"1653020618-846","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Sosnovoborsk","Сосновоборск","Krasnoyarsk Krai"
"1653020618-417","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Kubinka","Кубинка","Moscow Oblast"
"1653020618-152","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Chernogorsk","Черногорск","Republic of Khakassia"
"1653020618-72","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Baymak","Баймак","Republic of Bashkortostan"
"1653020618-897","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Talitsa","Талица","Sverdlovsk Oblast"
"1653020618-1089","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Zelenokumsk","Зеленокумск","Stavropol Krai"
"1653020618-464","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Lobnya","Лобня","Moscow Oblast"
"1653020618-564","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Neman","Неман","Kaliningrad Oblast"
"1653020618-660","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Ozherelye","Ожерелье","Moscow Oblast"
"1653020618-718","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Protvino","Протвино","Moscow Oblast"
"1653020618-442","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Ladushkin","Ладушкин","Kaliningrad Oblast"
"1653020618-887","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Svetogorsk","Светогорск","Leningrad Oblast"
"1653020618-461","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Lipki","Липки","Tula Oblast"
"1653020618-811","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Shilka","Шилка","Zabaykalsky Krai"
"1653020618-675","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Pervomaysk","Первомайск","Nizhny Novgorod Oblast"
"1653020618-394","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Krasnodar","Краснодар","Krasnodar Krai"
"1653020618-939","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Tuymazy","Туймазы","Republic of Bashkortostan"
"1653020618-225","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Gornyak","Горняк","Altai Krai"
"1653020618-719","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Pskov","Псков","Pskov Oblast"
"1653020618-236","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Gubakha","Губаха","Perm Krai"
"1653020618-273","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Kalachinsk","Калачинск","Omsk Oblast"
"1653020618-177","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Divnogorsk","Дивногорск","Krasnoyarsk Krai"
"1653020618-70","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Bavly","Бавлы","Republic of Tatarstan"
"1653020618-395","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Krasnogorsk","Красногорск","Moscow Oblast"
"1653020618-167","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Danilov","Данилов","Yaroslavl Oblast"
"1653020618-324","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Khvalynsk","Хвалынск","Saratov Oblast"
"1653020618-444","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Laishevo","Лаишево","Republic of Tatarstan"
"1653020618-370","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Korenovsk","Кореновск","Krasnodar Krai"
"1653020618-855","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Spassk","Спасск","Penza Oblast"
"1653020618-17","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Alexandrov","Александров","Vladimir Oblast"
"1653020618-301","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Kartaly","Карталы","Chelyabinsk Oblast"
"1653020618-377","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Kostomuksha","Костомукша","Karelia"
"1653020618-955","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Uray","Урай","Khanty-Mansi Autonomous Okrug"
"1653020618-430","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Kurtamysh","Куртамыш","Kurgan Oblast"
"1653020618-600","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Novokubansk","Новокубанск","Krasnodar Krai"
"1653020618-1108","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Znamensk","Знаменск","Astrakhan Oblast"
"1653020618-165","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Dalnegorsk","Дальнегорск","Primorsky Krai"
"1653020618-221","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Golitsyno","Голицыно","Moscow Oblast"
"1653020618-747","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Ruza","Руза","Moscow Oblast"
"1653020618-819","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Skopin","Скопин","Ryazan Oblast"
"1653020618-982","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Venyov","Венёв","Tula Oblast"
"1653020618-1100","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Zhizdra","Жиздра","Kaluga Oblast"
"1653020618-683","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Petrozavodsk","Петрозаводск","Karelia"
"1653020618-541","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Murom","Муром","Vladimir Oblast"
"1653020618-831","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Sochi","Сочи","Krasnodar Krai"
"1653020618-571","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Nevinnomyssk","Невинномысск","Stavropol Krai"
"1653020618-429","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Kursk","Курск","Kursk Oblast"
"1653020618-114","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Bolkhov","Болхов","Oryol Oblast"
"1653020618-902","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Tashtagol","Таштагол","Kemerovo Oblast"
"1653020618-322","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Kholmsk","Холмск","Sakhalin Oblast"
"1653020618-543","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Myski","Мыски","Kemerovo Oblast"
